node,degree,betweenness,closeness,eigenvector,community
climate,1.0,0.0,1.0,0.44741442755886424,0
change,1.0,0.0,1.0,0.30288965905598864,0
global,1.0,0.0,1.0,0.19395938555999645,0
zero,1.0,0.0,1.0,0.17838621223018972,3
action,1.0,0.0,1.0,0.1674509013972696,0
energy,1.0,0.0,1.0,0.16260624457439055,3
cop,1.0,0.0062255205112347976,1.0,0.156862055637308,0
emissions,1.0,0.0,1.0,0.15455492933714532,3
net,1.0,0.0,1.0,0.14476413107848388,3
finance,1.0,0.0,1.0,0.13828130730584404,0
work,1.0,0.0,1.0,0.13630265634476202,0
carbon,1.0,0.0,1.0,0.13626037837416718,3
nature,1.0,0.0,1.0,0.1270519627160586,1
environment,1.0,0.0,1.0,0.12115291771043965,1
together,1.0,0.0,1.0,0.11990040216927778,0
around,1.0,0.0,1.0,0.11913664041493183,2
right,1.0,0.0,1.0,0.11604319048404156,2
green,1.0,0.0,1.0,0.11510753011746955,1
future,1.0,0.0,1.0,0.11335284477714531,1
last,1.0,0.0,1.0,0.10105438268535324,0
help,1.0,0.0,1.0,0.0999257821588627,1
support,1.0,0.0,1.0,0.09492974066644261,1
investment,1.0,0.0,1.0,0.09234620822952525,1
economy,1.0,0.0,1.0,0.0920140343607002,3
transition,0.98989898989899,0.0008245722531436817,0.99,0.08968887951368719,3
working,1.0,0.0,1.0,0.08958933659057942,0
companies,1.0,0.0,1.0,0.08842747930921628,2
part,1.0,0.0,1.0,0.08815870369129641,2
course,1.0,0.0037105751391465673,1.0,0.08529389436924471,2
international,1.0,0.00020614306328592042,1.0,0.08528280561195432,0
clean,0.98989898989899,0.0,0.99,0.0847376581800986,3
good,1.0,0.0,1.0,0.08370634766120884,2
business,1.0,0.0,1.0,0.08199257341945544,2
sector,1.0,0.0,1.0,0.08131840175511308,1
across,1.0,0.0,1.0,0.08054918812154035,0
economic,1.0,0.0,1.0,0.07989071200987,1
better,1.0,0.0,1.0,0.07932331354627385,1
adaptation,0.9393939393939394,0.05744520030234316,0.9428571428571428,0.07628745675165767,0
every,1.0,0.0,1.0,0.07592674490714932,0
risk,1.0,0.00020614306328592042,1.0,0.07429081273951087,1
sustainable,1.0,0.0,1.0,0.07321939253235434,1
power,1.0,0.0,1.0,0.07167715440410402,3
water,0.9797979797979799,0.007936507936507936,0.9801980198019802,0.07129145792452238,1
industry,0.98989898989899,0.0,0.99,0.071209572049284,2
development,1.0,0.0,1.0,0.07118943749907258,0
billion,1.0,0.0018552875695732837,1.0,0.07068737445329444,0
next,1.0,0.0,1.0,0.06888988392919108,2
lot,1.0,0.0013656977942692228,1.0,0.06858913685402919,2
back,1.0,0.0006184291898577612,1.0,0.06656820192816579,2
example,1.0,0.0,1.0,0.06610116862818383,2
environmental,0.98989898989899,0.0004810004810004809,0.99,0.06586892931552074,1
crisis,0.98989898989899,0.06481137909709339,0.99,0.06575551171835677,0
let,1.0,0.0,1.0,0.06476272230434062,2
public,1.0,0.0,1.0,0.0632428489929588,1
made,1.0,0.0015804301518587232,1.0,0.06301950841160416,0
progress,1.0,0.009650931079502507,1.0,0.062881074347991,0
communities,0.98989898989899,0.01827801827801828,0.99,0.06252038293342943,1
private,0.98989898989899,0.0011337868480725624,0.99,0.0624596298777225,1
financial,1.0,0.0,1.0,0.06244990527459131,1
set,1.0,0.0,1.0,0.0617397369775565,3
paris,0.9696969696969697,0.10238954167525595,0.9705882352941176,0.06128057416528441,0
deliver,1.0,0.0013914656771799629,1.0,0.060686504814250676,0
agreement,0.9595959595959597,0.05264378478664192,0.9611650485436893,0.06054895152536086,0
infrastructure,0.9797979797979799,0.0009276437847866418,0.9801980198019802,0.060202910395234406,1
governments,0.98989898989899,0.0006184291898577612,0.99,0.0598687068215026,2
businesses,0.98989898989899,0.0,0.99,0.059570313485197424,1
including,1.0,0.0002748574177145605,1.0,0.05944313109252658,1
resilience,0.9696969696969697,0.02336288050573765,0.9705882352941176,0.05891580842427689,0
build,1.0,0.0,1.0,0.0583004040610047,1
forward,0.9797979797979799,0.0007558578987150416,0.9801980198019802,0.05825408330854196,2
policy,0.98989898989899,0.0,0.99,0.05788715467251799,2
point,0.98989898989899,0.0010307153164296021,0.99,0.05627063752899284,2
commitments,0.9595959595959597,0.09148285576857008,0.9611650485436893,0.05623929512566527,0
long,1.0,0.0,1.0,0.05579368471874149,2
solutions,1.0,0.004088504088504088,1.0,0.05574916921300374,2
put,1.0,0.0006527863670720813,1.0,0.05546615881820975,2
million,1.0,0.013244691816120386,1.0,0.0549560536566625,1
role,1.0,0.0031608603037174463,1.0,0.05477331935283995,2
reduce,1.0,0.0049130763416477706,1.0,0.054201415237747,3
making,1.0,0.0,1.0,0.0541589445910003,2
mean,1.0,0.018327836184979043,1.0,0.05406034311119288,2
health,0.98989898989899,0.053947639661925374,0.99,0.05356303546675163,1
growth,1.0,0.008400329828901256,1.0,0.053558603812130776,1
means,1.0,0.00017178588607160032,1.0,0.05348565097964168,3
agency,0.9797979797979799,0.06314849171992028,0.9801980198019802,0.05199013073830231,1
end,0.98989898989899,0.0298735655878513,0.99,0.05141962570361332,2
great,0.98989898989899,0.0018896447467876038,0.99,0.05105553007478375,2
based,1.0,0.0061138596852882586,1.0,0.04951272077677059,2
flood,0.9090909090909092,0.13287294715866144,0.9166666666666666,0.04909282292846021,1
scale,1.0,0.002216037930323644,1.0,0.04902558941380814,2
question,0.9696969696969697,0.04291039648182504,0.9705882352941176,0.04815503130628602,2
opportunity,1.0,0.007489864632721776,1.0,0.04780919557432966,2
start,1.0,0.015426372569229711,1.0,0.04733240679642761,2
different,0.9696969696969697,0.004449254449254449,0.9705882352941176,0.04719220714951571,2
natural,0.98989898989899,0.052686731258159814,0.99,0.046016543226727866,1
supply,1.0,0.050264550264550255,1.0,0.04598976005498817,3
technology,0.9797979797979799,0.026609633752490897,0.9801980198019802,0.04433624373778341,2
cost,1.0,0.04150862365148079,1.0,0.043705528148962204,2
big,0.9595959595959597,0.017391603105888814,0.9611650485436893,0.04255166435735968,2
market,0.9797979797979799,0.05148079433793718,0.9801980198019802,0.04186531001192186,2
