source,language,n_documents,mean_char_length,std_char_length,median_char_length,mean_word_count,std_word_count,year_min,year_max
academic,ca,2,4438.5,665.4,4438.5,676.0,111.7,2022.0,2025.0
academic,en,4884,1563.8,1627.6,1338.0,226.4,258.0,2015.0,2026.0
academic,es,6694,1277.8,767.4,1160.5,190.7,113.5,2015.0,2026.0
academic,eu,1,3357.0,,3357.0,446.0,,2018.0,2018.0
academic,gl,3,864.0,141.7,795.0,128.7,18.0,2018.0,2023.0
academic,it,1,3269.0,,3269.0,445.0,,2025.0,2025.0
academic,pt,29,3288.0,3209.7,2778.0,474.5,466.7,2015.0,2026.0
academic,ro,1,1753.0,,1753.0,262.0,,2020.0,2020.0
political,en,32,41097.0,17661.4,36917.5,7517.1,3198.2,,
TOTAL,all,14983,1240.3,2337.8,1074.0,187.1,411.8,2015.0,2026.0
