topic_id,word,score
0,research,0.5042
0,environment,0.4355
0,earth,0.359
0,energy,0.3349
0,future,0.3296
0,world,0.3174
0,idea,0.3165
0,important,0.3129
0,use,0.2998
0,society,0.2949
1,world,0.2632
1,great,0.2509
1,important,0.2494
1,strong,0.2453
1,society,0.2366
1,well,0.2304
1,life,0.2288
1,thought,0.2179
1,said,0.214
1,best,0.2029
2,said,0.3241
2,media,0.3112
2,well,0.3007
2,positive,0.2885
2,better,0.287
2,great,0.2761
2,real,0.2741
2,together,0.2712
2,shows,0.271
2,show,0.2576
3,points,0.2774
3,point,0.2473
3,said,0.2302
3,good,0.212
3,well,0.2101
3,strong,0.196
3,now,0.1915
3,us,0.1912
3,give,0.1839
3,better,0.182
4,years ago,0.3008
4,heart,0.2864
4,life,0.2632
4,name,0.2406
4,great,0.2339
4,thought,0.2274
4,far,0.2155
4,ever,0.2078
4,live,0.2075
4,believe,0.2037
5,energy,0.3602
5,research,0.3519
5,example,0.2906
5,two,0.2751
5,thought,0.2588
5,strong,0.2487
5,even,0.2405
5,power,0.2304
5,future,0.2269
5,current,0.226
6,energy,0.3992
6,power,0.2586
6,future,0.2568
6,idea,0.1981
6,current,0.1805
6,thought,0.18
6,instead,0.1648
6,environment,0.1635
6,us,0.161
6,important,0.1608
7,heart,0.6352
7,life,0.4192
7,world,0.3878
7,said,0.3524
7,live,0.3469
7,important,0.344
7,many,0.3395
7,earth,0.335
7,thanks,0.3289
7,name,0.3233
8,current,0.2661
8,future,0.2523
8,energy,0.2402
8,big,0.2187
8,found,0.2158
8,light,0.2134
8,seen,0.2029
8,earth,0.1992
8,high,0.1877
8,great,0.1845
9,said,0.474
9,positive,0.4383
9,say,0.4096
9,something,0.398
9,thanks,0.3883
9,believe,0.3804
9,point,0.3714
9,good,0.3605
9,understand,0.3408
9,give,0.3401
10,research,0.3772
10,common,0.2581
10,example,0.2537
10,10,0.1851
10,best,0.1832
10,years ago,0.175
10,human,0.1749
10,society,0.1686
10,years,0.1668
10,important,0.1654
